EMP_ID,PAY_YEAR,BASIC_PAY,REGULAR_ALLOWANCE,VARIABLE_PAY,TOTAL_PAY,VARIABLE_PAY_RATIO,YOY_GROWTH
E00242,2026,14716668,400000,0,15116668,0.0,73.74
E00243,2020,39900006,3389468,7982964,51272438,15.57,0.0
E00243,2021,41700006,1870647,11902648,55473301,21.46,8.49
E00243,2022,45600000,2182740,15430478,63213218,24.41,13.95
E00243,2023,48300000,3092365,15829010,67221375,23.55,6.34
E00243,2024,55200000,3104323,15428790,73733113,20.93,9.39
E00243,2025,58200000,3533620,8652580,70386200,12.29,-4.28
E00243,2026,10533334,445360,0,10978694,0.0,77.91
E00244,2020,17244448,1579793,3078253,21902494,14.05,0.0
E00244,2021,33797788,2701393,0,36499181,0.0,-6.4
E00245,2020,69500016,4483012,16772073,90755101,18.48,0.0
E00245,2021,74700000,4410715,25250334,104361049,24.2,15.31
E00245,2022,79800000,2619135,26088494,108507629,24.04,3.97
E00245,2023,90800004,4005697,25429722,120235423,21.15,10.81
E00245,2024,94700004,3469553,26184774,124354331,21.06,3.14
E00245,2025,97200000,3879516,15563806,116643322,13.34,-5.94
E00245,2026,7846775,240736,0,8087511,0.0,-15.64
E00246,2020,44400006,5117028,10527646,60044680,17.53,0.0
E00246,2021,48600000,3181996,19713510,71495506,27.57,19.4
E00246,2022,55700004,4151213,18123082,77974299,23.24,9.06
E00246,2023,60000000,5235597,27524304,92759901,29.67,18.96
E00246,2024,62900004,5586415,16061648,84548067,19.0,-9.1
E00246,2025,68100000,5719581,10862915,84682496,12.83,0.43
E00246,2026,11466668,474755,0,11941423,0.0,60.84
E00248,2020,42200010,4301127,7589139,54090276,14.03,0.0
E00248,2021,46200006,2167747,16118980,64486733,25.0,19.55
E00248,2022,48300000,1859626,16396138,66555764,24.64,3.21
E00248,2023,55200000,3968216,20752792,79921008,25.97,20.08
E00248,2024,59100000,3706094,17896480,80702574,22.18,0.7
E00248,2025,62600004,3534483,10783928,76918415,14.02,-4.43
E00248,2026,11216668,400000,0,11616668,0.0,72.26
E00249,2020,62700012,4030897,13413172,80144081,16.74,0.0
E00249,2021,65700000,4517482,25451320,95668802,26.6,19.7
E00249,2022,72400008,2667221,23715410,98782639,24.01,3.25
E00249,2023,80000004,3934297,26296130,110230431,23.86,11.59
E00249,2024,86800008,3822474,31208404,121830886,25.62,10.22
E00249,2025,91100004,3909267,17694687,112703958,15.7,-7.24
E00249,2026,17300000,428972,0,17728972,0.0,79.43
E00250,2025,6483334,664463,1753920,8901717,19.7,0.0
E00250,2026,6550000,400000,0,6950000,0.0,85.43
E00251,2020,56100006,6269185,11832886,74202077,15.95,0.0
E00251,2021,60100002,4142785,20932362,85175149,24.58,15.1
E00251,2022,64500000,2300091,17161414,83961505,20.44,-1.42
E00251,2023,65600004,3618269,29584124,98802397,29.94,17.68
E00251,2024,28373334,1353027,1000000,30726361,3.25,-26.29
E00253,2020,81600012,7911201,13485255,102996468,13.09,0.0
E00253,2021,86600016,6552728,30465300,123618044,24.64,20.35
E00253,2022,96700008,7461663,33171260,137332931,24.15,11.09
E00253,2023,102300000,8406332,48723294,159429626,30.56,16.09
E00253,2024,113800008,8355474,35096348,157251830,22.32,-1.64
E00253,2025,120900000,8493245,26989655,156382900,17.26,-0.28
E00253,2026,20350000,400000,0,20750000,0.0,51.35
E00254,2020,83900016,7252955,18986252,110139223,17.24,0.0
E00254,2021,91700010,4128172,24161914,119990096,20.14,9.24
E00254,2022,94300008,2736900,25128572,122165480,20.57,1.81
E00254,2023,101700000,4281571,33864910,139846481,24.22,14.47
E00254,2024,53987099,2158222,0,56145321,0.0,-22.05
E00255,2020,51300000,3243963,10463042,65007005,16.1,0.0
E00255,2021,33681728,2096650,0,35778378,0.0,-8.85
E00256,2021,35322226,1100000,12846992,49269218,26.08,0.0
E00256,2022,39400008,1808372,11807992,53016372,22.27,5.84
E00256,2023,42000000,3360446,13574394,58934840,23.03,11.16
E00256,2024,45600000,3455016,10149748,59204764,17.14,0.18
E00256,2025,49000008,3629435,5843725,58473168,9.99,-0.97
E00256,2026,8700000,426018,0,9126018,0.0,78.02
E00257,2022,21583335,662136,3125403,25370874,12.32,0.0
E00257,2023,53400000,3437458,23936526,80773984,29.63,37.82
E00257,2024,60500004,4862360,21815694,87178058,25.02,7.63
E00257,2025,64000008,5963308,11280509,81243825,13.88,-6.55
E00257,2026,11366668,491777,0,11858445,0.0,66.49
E00258,2020,45900000,1200000,10461050,57561050,18.17,0.0
E00258,2021,50300010,1200000,18912774,70412784,26.86,22.66
E00258,2022,56500008,2686852,18246564,77433424,23.56,9.97
E00258,2023,61000008,3370491,31401924,95772423,32.79,23.68
E00258,2024,67800000,3418509,30591606,101810115,30.05,6.01
E00258,2025,69500004,3695541,18444046,91639591,20.13,-9.74
E00258,2026,12850000,444576,0,13294576,0.0,65.48
E00259,2020,50400000,4328887,10233941,64962828,15.75,0.0
E00259,2021,52300008,3701734,17688044,73689786,24.0,13.74
E00259,2022,55300008,2266672,18266036,75832716,24.09,2.91
E00259,2023,59200008,3856433,28480812,91537253,31.11,20.71
E00259,2024,63300000,4011574,13230592,80542166,16.43,-12.25
E00259,2025,70600008,4003850,7409121,82012979,9.03,2.11
E00259,2026,12616668,400000,0,13016668,0.0,81.03
E00260,2020,50500008,5629254,7575840,63705102,11.89,0.0
E00260,2021,53200008,3514579,14637876,71352463,20.51,12.31
E00260,2022,57900000,9197920,13250532,80348452,16.49,12.61
E00260,2023,11930110,1456704,0,13386814,0.0,-9.24
E00261,2022,27400000,1240841,7516472,36157313,20.79,0.0
E00261,2023,41800008,2989600,10946164,55735772,19.64,8.54
E00261,2024,45100008,3064475,13306618,61471101,21.65,9.99
E00261,2025,48800004,2968665,8975644,60744313,14.78,-0.91
E00261,2026,8550000,400000,0,8950000,0.0,68.06
E00262,2020,119600010,11970604,21816407,153387021,14.22,0.0
E00262,2021,123700014,8602016,35748494,168050524,21.27,9.86
E00262,2022,127400004,6725557,43701606,177827167,24.58,5.82
E00262,2023,143300004,11021654,59213208,213534866,27.73,20.08
E00262,2024,144700008,8759547,38297948,191757503,19.97,-10.44
E00262,2025,150600000,13408805,21537804,185546609,11.61,-2.97
E00262,2026,25616668,400000,0,26016668,0.0,59.93
E00263,2020,67800006,7965240,10299446,86064692,11.97,0.0
E00263,2021,76500000,3309761,22902384,102712145,22.3,19.67
E00263,2022,77900004,3179367,20663418,101742789,20.31,-0.94
E00263,2023,78700008,2881684,33746214,115327906,29.26,13.35
E00263,2024,57200000,1600000,0,58800000,0.0,-23.73
E00264,2020,51900012,6115059,12610337,70625408,17.86,0.0
E00264,2021,55900008,2573315,19629374,78102697,25.13,10.89
E00264,2022,60300000,2230289,14469550,76999839,18.79,-1.41
E00264,2023,61400004,3298494,21048568,85747066,24.55,11.36
E00264,2024,22886023,1075821,0,23961844,0.0,-23.31
E00265,2020,68800014,7383212,16369611,92552837,17.69,0.0
E00265,2021,73100016,5361692,30795092,109256800,28.19,18.37
E00265,2022,82700004,5852228,26319700,114871932,22.91,5.14
E00265,2023,87500004,5961591,40605142,134066737,30.29,16.71
E00265,2024,100200000,6743562,38791748,145735310,26.62,8.41
E00265,2025,103900008,7108642,24638603,135647253,18.16,-6.67
E00265,2026,18216668,532923,0,18749591,0.0,57.66
E00266,2020,51400008,4599701,11987480,67987189,17.63,0.0
E00266,2021,53000010,3088283,15047914,71136207,21.15,4.92
E00266,2022,54400008,2031856,19867444,76299308,26.04,7.26
E00266,2023,58000008,3709518,19043160,80752686,23.58,5.84
E00266,2024,65500008,3674516,20326526,89501050,22.71,10.53
E00266,2025,72200004,3704820,12370044,88274868,14.01,-1.1
E00266,2026,13083334,400000,0,13483334,0.0,74.22
E00267,2025,19700004,1612783,3989667,25302454,15.77,0.0
E00267,2026,6616668,479150,0,7095818,0.0,63.01
E00270,2023,31333340,2453167,16488498,50275005,32.8,0.0
E00270,2024,39300000,3055794,9846220,52202014,18.86,-11.77
E00270,2025,42300000,3229862,6232951,51762813,12.04,-0.57
E00270,2026,7266668,400000,0,7666668,0.0,68.94
E00271,2025,29850003,3493465,7848626,41192094,19.05,0.0
E00271,2026,6966668,400000,0,7366668,0.0,63.75
E00272,2020,10416670,300000,1833381,12550051,14.61,0.0
E00272,2021,37700010,1200000,11805074,50705084,23.28,9.58
E00272,2022,39300000,1711236,11695510,52706746,22.19,3.95
E00272,2023,42000000,3288014,13767192,59055206,23.31,12.04
E00272,2024,42500004,3475228,10424472,56399704,18.48,-4.76
E00272,2025,45600000,3660927,13015473,62276400,20.9,10.72
E00272,2026,8400000,400000,0,8800000,0.0,61.18
E00273,2024,20875000,1164312,3172396,25211708,12.58,0.0
E00273,2025,51400008,3297173,8631574,63328755,13.63,12.86
E00273,2026,9216668,412128,0,9628796,0.0,73.43
E00274,2020,53300016,5306718,8301923,66908657,12.41,0.0
E00274,2021,55800000,4339783,14102906,74242689,19.0,11.27
E00274,2022,59400000,4658805,17685508,81744313,21.64,10.1
E00274,2023,63900000,6019511,20016202,89935713,22.26,10.02
E00274,2024,67800000,6935184,28966128,103701312,27.93,14.99
E00274,2025,77000004,7511889,21250000,105761893,20.09,2.27
E00274,2026,13616668,408959,0,14025627,0.0,51.26
E00275,2024,17166668,1042828,2728078,20937574,13.03,0.0
E00275,2025,52200000,3372019,10280291,65852310,15.61,13.74
E00275,2026,9050000,428688,0,9478688,0.0,64.18
E00276,2026,7650000,407779,0,8057779,0.0,0.0
E00277,2024,12033336,1097958,2001648,15132942,13.23,0.0
E00277,2025,37500000,3159245,9738650,50397895,19.32,16.79
E00277,2026,6400000,471584,0,6871584,0.0,55.52
E00278,2020,253406,0,0,253406,0.0,0.0
E00279,2020,5277778,100000,1111309,6489087,17.13,0.0
E00279,2021,47800008,1200000,11742822,60742830,19.33,-7.67
E00279,2022,49500000,2222875,11331528,63054403,17.97,3.81
E00279,2023,55700004,3398299,19130268,78228571,24.45,24.07
E00279,2024,57100008,3486038,12348882,72934928,16.93,-7.02
E00279,2025,61100004,4068261,6390940,71559205,8.93,-1.62
E00279,2026,10983334,465690,0,11449024,0.0,82.49
E00281,2020,50600016,3394874,12384898,66379788,18.66,0.0
E00281,2021,57000006,2815586,17351482,77167074,22.49,16.57
E00281,2022,63600000,2298050,17393622,83291672,20.88,7.94
E00281,2023,66400008,4095132,19884888,90380028,22.0,8.51
E00281,2024,67700004,3917743,26605614,98223361,27.09,8.38
E00281,2025,75900000,4005510,11394658,91300168,12.48,-6.79
E00281,2026,13383334,400000,0,13783334,0.0,72.2
E00283,2022,23216669,1856925,10374656,35448250,29.27,0.0
E00283,2023,42600000,4679952,24796738,72076690,34.4,30.91
E00283,2024,44400000,3503847,17643184,65547031,26.92,-9.31
E00283,2025,50300004,3216285,9799627,63315916,15.48,-3.14
E00283,2026,9033334,432417,0,9465751,0.0,70.52
E00284,2020,13472225,1493571,2520956,17486752,14.42,0.0
E00284,2021,50200002,3493506,15438768,69132276,22.33,29.98
E00284,2022,52600008,4010913,15299066,71909987,21.28,4.02
E00284,2023,55400004,8870535,21430102,85700641,25.01,19.18
E00284,2024,27615558,5696404,0,33311962,0.0,-18.46
E00285,2020,9319535,2134713,0,11454248,0.0,0.0
E00286,2020,58000014,4355558,11519558,73875130,15.59,0.0
E00286,2021,58800006,2817580,21604762,83222348,25.96,12.96
E00286,2022,62900004,2054602,13103990,78058596,16.79,-6.2
E00286,2023,50392229,1800000,0,52192229,0.0,-9.28
E00287,2020,83600010,1200000,13115870,97915880,13.4,0.0
E00287,2021,95500008,1200000,27810552,124510560,22.34,27.51
E00287,2022,49324447,1120139,1000000,51444586,1.94,-16.22
E00288,2020,46400004,2680391,10491278,59571673,17.61,0.0
E00288,2021,7397622,331201,0,7728823,0.0,-15.21
E00289,2024,29250000,2366448,9743238,41359686,23.56,0.0
E00289,2025,41000004,3199420,6223511,50422935,12.34,0.87
E00289,2026,7350000,401759,0,7751759,0.0,75.35
E00291,2020,64200006,10013600,14549578,88763184,16.39,0.0
E00291,2021,69200010,3793853,18323766,91317629,20.07,3.16
E00291,2022,71100000,4087453,19755352,94942805,20.81,3.97
E00291,2023,71100000,7603884,23697068,102400952,23.14,7.86
E00291,2024,65520004,12994066,0,78514070,0.0,-14.94
E00292,2023,4332223,621416,2000000,6953639,28.76,0.0
E00293,2020,77500008,1200000,12618004,91318012,13.82,0.0
E00293,2021,82500012,1200000,32317748,116017760,27.86,27.4
E00293,2022,87100008,3262041,30457190,120819239,25.21,4.14
E00293,2023,96800004,3898533,35497328,136195865,26.06,12.73
E00293,2024,104700000,3823577,31707388,140230965,22.61,2.68
E00293,2025,114000000,4693209,18578242,137271451,13.53,-1.84
E00293,2026,19700000,555530,0,20255530,0.0,68.31
E00294,2024,13791670,1130992,2097946,17020608,12.33,0.0
E00294,2025,33400008,2856147,5082634,41338789,12.3,12.45
E00294,2026,5616668,423853,0,6040521,0.0,66.67
E00296,2020,35000010,4486102,6913937,46400049,14.9,0.0
E00296,2021,38800008,2139525,11106920,52046453,21.34,12.48
E00296,2022,39200004,2039725,13259128,54498857,24.33,4.71
E00296,2023,42000000,3199256,22356954,67556210,33.09,23.96
E00296,2024,47700000,3103741,15780192,66583933,23.7,-1.71
E00296,2025,33241936,1400000,0,34641936,0.0,-14.99
E00297,2020,48877428,7452514,0,56329942,0.0,0.0
E00298,2020,59200002,5142913,12136093,76479008,15.87,0.0
E00298,2021,61200000,2265965,15326480,78792445,19.45,3.31
E00298,2022,64900008,2712575,15230512,82843095,18.38,5.14
E00298,2023,28481724,1639190,0,30120914,0.0,-11.53
E00299,2020,30250000,700000,5681109,36631109,15.51,0.0
E00299,2021,52500006,1200000,15439958,69139964,22.33,23.07
E00299,2022,56400000,2669662,16140752,75210414,21.46,8.78
E00299,2023,59700000,3840742,25524676,89065418,28.66,18.42
E00299,2024,64700004,3295839,23799040,91794883,25.93,2.78
E00299,2025,73600008,3642116,11166853,88408977,12.63,-3.42
E00299,2026,13516668,477609,0,13994277,0.0,80.55
E00301,2020,50300010,1200000,11936230,63436240,18.82,0.0
E00301,2021,52400016,1678230,17342882,71421128,24.28,12.9
E00301,2022,55300008,3762763,25561944,84624715,30.21,18.49
E00301,2023,63000000,6574947,28132810,97707757,28.79,15.46
E00301,2024,66900000,6056924,18653480,91610404,20.36,-6.5
E00301,2025,41806452,2851482,0,44657934,0.0,-15.44
E00302,2020,44700012,4881544,8596738,58178294,14.78,0.0
E00302,2021,46000008,4246101,11729408,61975517,18.93,6.82
E00302,2022,8179033,467920,0,8646953,0.0,-19.17
E00303,2020,60200010,4479952,10304013,74983975,13.74,0.0
E00303,2021,61600014,2907099,18448502,82955615,22.24,10.93
E00303,2022,66400008,4279826,26715572,97395406,27.43,17.41
E00303,2023,73400004,6969317,34493210,114862531,30.03,17.93
E00303,2024,80500008,5698878,33739286,119938172,28.13,4.13
E00303,2025,90500004,8338693,21096863,119935560,17.59,0.27
E00303,2026,15900000,476078,0,16376078,0.0,55.74
E00304,2020,46700010,4638683,9524448,60863141,15.65,0.0
E00304,2021,49700016,3028437,17086292,69814745,24.47,15.02
E00304,2022,54900000,2186695,17605718,74692413,23.57,6.99
E00304,2023,58500000,3542980,19720714,81763694,24.12,9.47
E00304,2024,62000004,2534112,17963992,82498108,21.78,0.62
E00304,2025,13049732,400000,0,13449732,0.0,-14.76
E00305,2020,9916670,300000,2458317,12674987,19.4,0.0
E00305,2021,36700002,1200000,14670890,52570892,27.91,28.41
E00305,2022,39900000,1802993,11730844,53433837,21.95,1.64
E00305,2023,40500000,2954723,22443464,65898187,34.06,23.33
E00305,2024,40900008,2914520,14809032,58623560,25.26,-11.28
E00305,2025,45600000,3278195,7665495,56543690,13.56,-3.28
E00305,2026,8266668,449443,0,8716111,0.0,75.83
E00306,2020,68500008,1200000,11651651,81351659,14.32,0.0
E00306,2021,78800004,1200000,22736798,102736802,22.13,26.63
E00306,2022,82200000,3218188,22419196,107837384,20.79,4.96
E00306,2023,83000004,3588944,26301700,112890648,23.3,4.69
E00306,2024,86600004,4021188,20560386,111181578,18.49,-1.78
E00306,2025,92800008,4417539,24468979,121686526,20.11,9.75
E00306,2026,17416668,412501,0,17829169,0.0,67.12
E00307,2021,7700001,282591,1637682,9620274,17.02,0.0
E00307,2022,46400004,1926634,13813154,62139792,22.23,53.96
E00307,2023,49400004,3115498,22568142,75083644,30.06,20.83
E00307,2024,52300008,3434886,16523608,72258502,22.87,-4.03
E00307,2025,59400000,3439776,9577177,72416953,13.23,0.49
E00307,2026,10666668,400000,0,11066668,0.0,74.31
E00308,2020,54800010,5677416,9927900,70405326,14.1,0.0
E00308,2021,57800016,4115387,19678168,81593571,24.12,16.21
E00308,2022,61200000,4188031,16355924,81743955,20.01,0.18
E00308,2023,63200004,5070571,29982072,98252647,30.52,20.2
E00308,2024,24736023,1840004,1000000,27576027,3.63,-24.67
E00309,2020,44000010,4307144,10981794,59288948,18.52,0.0
E00309,2021,44500014,2125426,16526174,63151614,26.17,6.81
E00309,2022,49100004,1747211,18101742,68948957,26.25,9.18
E00309,2023,55100004,3400188,15701146,74201338,21.16,7.62
E00309,2024,58100004,3558885,14459536,76118425,19.0,2.3
E00309,2025,60400008,3134537,8751188,72285733,12.11,-4.77
E00309,2026,10983334,400000,0,11383334,0.0,79.62
E00310,2025,4325000,318991,897741,5541732,16.2,0.0
E00310,2026,8683334,430123,0,9113457,0.0,74.73
E00311,2025,5850000,480128,1549857,7879985,19.67,0.0
E00311,2026,5983334,400000,0,6383334,0.0,97.45
E00312,2020,59700006,1956340,12836710,74493056,17.23,0.0
E00312,2021,9585716,100000,0,9685716,0.0,-10.21
E00313,2020,66700008,7074839,12927704,86702551,14.91,0.0
E00313,2021,70800012,3018956,23662020,97480988,24.27,12.74
E00313,2022,73400004,2516288,24817096,100733388,24.64,3.34
E00313,2023,78800004,3636381,39937058,122373443,32.64,21.48
E00313,2024,79000008,4048240,31341268,114389516,27.4,-6.78
E00313,2025,57600000,2739282,2000000,62339282,3.21,-22.99
E00314,2020,6000000,311491,1329732,7641223,17.4,0.0
E00314,2021,36300006,2270994,13153640,51724640,25.43,24.26
E00314,2022,40700004,1841049,12051502,54592555,22.08,5.54
E00314,2023,43300008,3133335,20547192,66980535,30.68,22.69
E00314,2024,45400008,3363992,15229598,63993598,23.8,-4.72
E00314,2025,48400008,3209115,9699876,61308999,15.82,-3.93
E00314,2026,9166668,429058,0,9595726,0.0,78.52
E00315,2020,10100001,200000,1851623,12151624,15.24,0.0
E00315,2021,60800004,1200000,18268614,80268618,22.76,24.87
E00315,2022,62700000,2661250,23750722,89111972,26.65,11.02
E00315,2023,68700000,3317671,28891984,100909655,28.63,13.24
E00315,2024,77500008,3877891,25218428,106596327,23.66,5.35
E00315,2025,80600004,4223034,14740617,99563655,14.81,-6.34
E00315,2026,13816668,400000,0,14216668,0.0,62.87
E00316,2025,21116669,1806319,3306024,26229012,12.6,0.0
E00316,2026,6333334,400000,0,6733334,0.0,91.73
E00318,2021,37777791,3062593,11502728,52343112,21.98,0.0
E00318,2022,43200000,3515476,9843984,56559460,17.4,6.87
E00318,2023,44000004,3423257,11303962,58727223,19.25,3.83
E00318,2024,41030922,2200000,0,43230922,0.0,-20.27
E00319,2020,41293339,2583608,0,43876947,0.0,0.0
E00320,2020,61700004,6376708,10640435,78717147,13.52,0.0
E00320,2021,69600006,5185583,18816410,93601999,20.1,19.24
E00320,2022,74900004,4460516,18525894,97886414,18.93,4.58
E00320,2023,7417858,425208,0,7843066,0.0,-13.98
E00321,2025,32625000,2062346,6829375,41516721,16.45,0.0
E00321,2026,7966668,400000,0,8366668,0.0,83.89
E00322,2020,57200004,1200000,10513700,68913704,15.26,0.0
E00322,2021,61500006,1200000,23233234,85933240,27.04,25.04
E00322,2022,66200004,2296100,24319242,92815346,26.2,8.01
E00322,2023,72900000,3640438,24720220,101260658,24.41,9.1
E00322,2024,79600008,4234519,22885936,106720463,21.44,5.1
E00322,2025,77215062,3922969,0,81138031,0.0,-17.43
E00324,2020,47300004,3159768,9878908,60338680,16.37,0.0
E00324,2021,49700016,3310181,16804104,69814301,24.07,16.02
E00324,2022,51000000,10454295,13921810,75376105,18.47,7.97
E00324,2023,976613,0,0,976613,0.0,-32.44
E00325,2020,37100016,3732485,6418179,47250680,13.58,0.0
E00325,2021,40200012,2475112,14290962,56966086,25.09,20.89
E00325,2022,43600008,2123581,13645920,59369509,22.98,4.22
E00325,2023,45500004,3292592,20296034,69088630,29.38,16.37
E00325,2024,48000000,3165087,14713240,65878327,22.33,-4.91
E00325,2025,51300000,3010075,8456341,62766416,13.47,-4.46
E00325,2026,9000000,400000,0,9400000,0.0,70.82
E00326,2020,17278525,500000,0,17778525,0.0,0.0
E00327,2021,46655565,1886938,14987364,63529867,23.59,0.0
E00327,2022,54100008,2171241,16431524,72702773,22.6,14.13
E00327,2023,57600000,3426056,22496922,83522978,26.94,14.88
E00327,2024,58800000,3627938,17032678,79460616,21.44,-5.12
E00327,2025,63000000,3838121,15713725,82551846,19.03,4.17
E00327,2026,11933334,401428,0,12334762,0.0,70.43
E00328,2023,41550003,2314147,18227668,62091818,29.36,0.0
E00328,2024,57300000,3749691,17245148,78294839,22.03,5.08
E00328,2025,59800008,3380589,10166692,73347289,13.86,-6.06
E00328,2026,10733334,445579,0,11178913,0.0,73.84
E00329,2020,56177420,2549602,0,58727022,0.0,0.0
E00331,2020,69900012,7376329,12023211,89299552,13.46,0.0
E00331,2021,74200014,5631660,25723572,105555246,24.37,18.53
E00331,2022,78200004,5612896,17721450,101534350,17.45,-3.81
E00331,2023,78800004,10843082,25928286,115571372,22.43,13.82
E00331,2024,34702780,5019664,0,39722444,0.0,-20.09
E00332,2021,18533336,1095914,2545859,22175109,11.48,0.0
E00332,2022,42300000,3834914,10067200,56202114,17.91,14.57
E00332,2023,44100000,3085341,16402254,63587595,25.79,13.14
E00332,2024,47500008,3186012,22717900,73403920,30.95,15.12
E00332,2025,53900004,3665885,15424498,72990387,21.13,-0.29
E00332,2026,9966668,445900,0,10412568,0.0,62.72
E00333,2020,77500008,7649150,12172666,97321824,12.51,0.0
E00333,2021,72001117,5906831,0,77907948,0.0,-10.4
E00334,2020,46400004,1200000,9889726,57489730,17.2,0.0
E00334,2021,51500016,1200000,20340474,73040490,27.85,27.4
E00334,2022,57400008,2302014,16875950,76577972,22.04,4.84
E00334,2023,60200004,3870251,27172514,91242769,29.78,19.15
E00334,2024,66900000,3554367,19685248,90139615,21.84,-1.48
E00334,2025,63033334,2469468,0,65502802,0.0,-13.93
E00335,2020,44000010,3875368,7606689,55482067,13.71,0.0
E00335,2021,45000000,2779985,10150448,57930433,17.52,4.7
E00335,2022,41056671,1100000,4000000,46156671,8.67,-12.14
E00336,2023,38500000,2777413,12891760,54169173,23.8,0.0
E00336,2024,46900008,3070902,13571276,63542186,21.36,0.96
E00336,2025,34101667,1600000,0,35701667,0.0,-21.51
E00337,2020,55000008,4250710,13233176,72483894,18.26,0.0
E00337,2021,57400002,3351128,16085910,76837040,20.94,6.3
E00337,2022,65200008,2469958,20058802,87728768,22.86,14.18
E00337,2023,68000004,3847215,17380244,89227463,19.48,1.71
E00337,2024,75000000,4259349,20072184,99331533,20.21,11.02
E00337,2025,79900008,4153048,16517442,100570498,16.42,1.52
E00337,2026,14733334,400000,0,15133334,0.0,71.64
E00338,2025,29500000,2440038,4716008,36656046,12.87,0.0
E00338,2026,6500000,400000,0,6900000,0.0,80.0
E00339,2020,110100006,8138236,25985757,144223999,18.02,0.0
E00339,2021,114000012,4860224,28819312,147679548,19.51,2.68
E00339,2022,120800004,19535198,24331812,164667014,14.78,11.5
E00339,2023,5822044,0,0,5822044,0.0,-24.09
E00340,2020,11630112,579584,0,12209696,0.0,0.0
E00341,2020,10405174,1130551,0,11535725,0.0,0.0
E00342,2020,38000016,4031091,5968017,47999124,12.43,0.0
E00342,2021,40200012,2970498,11956862,55127372,21.69,15.17
E00342,2022,42500004,5015822,17913140,65428966,27.38,18.69
E00342,2023,21150002,4198778,0,25348780,0.0,-13.25
E00343,2023,44916674,3102173,23798278,71817125,33.14,0.0
E00343,2024,13125000,711998,0,13836998,0.0,-29.28
E00345,2020,47500002,4300248,8254864,60055114,13.75,0.0
E00345,2021,52500006,3106395,18037196,73643597,24.49,22.96
E00345,2022,54900000,3504838,12565836,70970674,17.71,-3.63
E00345,2023,55100004,4306998,15952220,75359222,21.17,6.18
E00345,2024,45531459,1800000,0,47331459,0.0,-23.07
E00347,2020,22350006,600000,4874933,27824939,17.52,0.0
E00347,2021,44900010,1200000,13827864,59927874,23.07,8.57
E00347,2022,48000000,2180880,14024518,64205398,21.84,7.14
E00347,2023,50700000,3586178,22427710,76713888,29.24,19.48
E00347,2024,53000004,2984331,20671926,76656261,26.97,-0.35
E00347,2025,58900008,3458591,11285022,73643621,15.32,-3.67
E00347,2026,9933334,445152,0,10378486,0.0,60.75
E00348,2021,12333336,478936,1683919,14496191,11.62,0.0
E00348,2022,10948892,442054,0,11390946,0.0,-7.07
E00349,2021,7916667,356260,1163698,9436625,12.33,0.0
E00349,2022,47900004,4603130,12981502,65484636,19.82,34.99
E00349,2023,49100004,3017692,12428576,64546272,19.26,-1.43
E00349,2024,49600008,3232122,14041692,66873822,21.0,3.32
E00349,2025,52500000,5482015,13227733,71209748,18.58,6.78
E00349,2026,9700000,400000,0,10100000,0.0,61.78
E00350,2024,18500004,1512030,6339936,26351970,24.06,0.0
E00350,2025,39200004,3485119,6712065,49397188,13.59,1.69
E00350,2026,7250000,460708,0,7710708,0.0,78.05
E00352,2020,71700012,1200000,12289892,85189904,14.43,0.0
E00352,2021,75600000,1200000,22499002,99299002,22.66,16.88
E00352,2022,78100008,2089859,30640472,110830339,27.65,11.61
E00352,2023,86200008,3255843,33483086,122938937,27.24,10.93
E00352,2024,89200008,3779114,24779174,117758296,21.04,-4.48
E00352,2025,93900000,3641174,14810567,112351741,13.18,-4.33
E00352,2026,16766668,404012,0,17170680,0.0,74.32
E00353,2020,52300008,2954102,8535644,63789754,13.38,0.0
E00353,2021,55000008,2969024,17011842,74980874,22.69,17.87
E00353,2022,58300008,2104855,19429750,79834613,24.34,6.47
E00353,2023,60500004,3483729,24264666,88248399,27.5,10.54
E00353,2024,66700008,3550238,23408696,93658942,24.99,5.84
E00353,2025,67400004,3604677,15948455,86953136,18.34,-6.91
E00353,2026,12200000,400000,0,12600000,0.0,65.28
E00354,2025,31275000,3493049,6383057,41151106,15.51,0.0
E00354,2026,7400000,452227,0,7852227,0.0,69.94
E00355,2020,59000004,5930952,14373345,79304301,18.12,0.0
E00355,2021,63900000,2650752,20429016,86979768,23.49,9.98
E00355,2022,73100004,2496319,24303876,99900199,24.33,14.85
E00355,2023,74700000,3891489,22594902,101186391,22.33,1.29
E00355,2024,79800000,3973454,20927832,104701286,19.99,3.19
E00355,2025,81300000,15493503,14149210,110942713,12.75,6.25
E00355,2026,6336291,200000,0,6536291,0.0,-20.35
E00356,2020,78300000,6040822,16218115,100558937,16.13,0.0
E00356,2021,81100008,3549648,22996598,107646254,21.36,7.34
E00356,2022,82200000,3078068,19012056,104290124,18.23,-3.12
E00356,2023,69666670,2000000,0,71666670,0.0,-17.49
E00357,2020,78800004,9033137,15545635,103378776,15.04,0.0
E00357,2021,85200012,5759614,34956144,125915770,27.76,22.13
E00357,2022,96500004,5574198,31332308,133406510,23.49,5.95
E00357,2023,74597226,1600000,3000000,79197226,3.79,-18.23
E00358,2024,8975001,748519,1367763,11091283,12.33,0.0
E00358,2025,36200004,3280118,5418276,44898398,12.07,7.58
E00358,2026,6100000,400000,0,6500000,0.0,65.13
E00359,2023,3000000,207178,1075532,4282710,25.11,0.0
